project_key,issue_count,resolved_count,min_created,max_created,instance,resolved_with_assignee,distinct_resolvers,top2_share
LOG4J2,3304,2459,2008-04-24T16:20:20.000+0000,2022-01-05T09:21:18.000+0000,Apache,1443,11,0.54
COUCHDB,3292,3292,2008-03-08T23:42:31.000+0000,2019-05-17T14:32:23.000+0000,Apache,1021,47,0.149
AVRO,3272,2411,2009-04-09T22:09:08.000+0000,2022-01-05T13:09:32.000+0000,Apache,2022,342,0.196
KUDU,3194,2390,2013-08-27T18:28:07.000+0000,2021-12-24T00:06:08.000+0000,Apache,1799,98,0.295
HUDI,3172,1786,2019-03-04T20:26:45.000+0000,2022-01-05T20:10:47.000+0000,Apache,1520,125,0.182
SQOOP,3152,2283,2011-07-22T21:31:47.000+0000,2021-07-05T17:41:34.000+0000,Apache,2118,139,0.371
SEC,3150,3150,2005-06-21T20:31:15.000+0000,2016-02-04T15:22:53.000+0000,Spring,2580,15,0.833
SYSTEMDS,3119,2378,2015-08-05T06:10:11.000+0000,2021-12-31T13:30:15.000+0000,Apache,1891,51,0.623
SOA,3116,3110,2007-03-15T10:46:49.000+0000,2012-01-12T08:14:49.000+0000,RedHat,2815,82,0.258
TEIIDDES,3099,3099,2005-12-01T00:00:00.000+0000,2020-08-10T00:17:26.000+0000,RedHat,2620,25,0.673
JBRULES,3056,2648,2005-12-05T10:17:10.000+0000,2013-01-25T04:57:37.000+0000,RedHat,2629,35,0.526
FOP,3040,2483,2001-02-01T01:45:33.000+0000,2022-01-05T14:17:31.000+0000,Apache,2164,16,0.96
WINDUP,3035,2489,2013-05-09T08:17:25.000+0000,2022-01-03T15:28:44.000+0000,RedHat,2042,33,0.404
SWITCHYARD,3015,2528,2010-11-03T13:30:24.000+0000,2021-09-28T14:57:46.000+0000,RedHat,2260,28,0.327
STR,3009,2765,2000-10-19T07:27:07.000+0000,2018-08-27T10:36:28.000+0000,Apache,718,34,0.517
ASTERIXDB,2993,2122,2010-10-16T18:37:10.000+0000,2021-12-27T13:54:49.000+0000,Apache,1257,28,0.259
ISIS,2932,2672,2010-09-23T01:37:53.000+0000,2021-12-23T14:48:11.000+0000,Apache,2142,10,0.961
RESTEASY,2922,2626,2008-02-27T20:07:01.000+0000,2021-12-30T10:28:29.000+0000,RedHat,2524,63,0.485
AXIS,2918,1842,2001-07-18T16:25:14.000+0000,2021-08-02T09:57:28.000+0000,Apache,283,32,0.431
NUTCH,2909,2623,2005-02-11T04:23:58.000+0000,2022-01-04T18:04:04.000+0000,Apache,1499,46,0.34
OPENJPA,2896,2084,2006-05-09T08:37:23.000+0000,2021-12-17T10:35:38.000+0000,Apache,1654,38,0.268
PL,2889,2889,2008-01-04T00:35:46.533-0600,2016-09-15T07:55:56.083-0500,JiraEcosystem,0,0,
RHPAM,2886,2565,2013-05-01T12:31:00.000+0000,2022-01-04T10:07:06.000+0000,RedHat,2522,118,0.141
PYTHON,2872,2611,2009-04-09T09:38:38.000+0000,2021-12-22T17:04:43.000+0000,MongoDB,2384,22,0.674
CONTINUUM,2724,2312,2004-07-11T16:21:32.000+0000,2016-06-30T22:01:45.000+0000,Apache,1937,31,0.487
OPENMEETINGS,2718,2628,2011-12-05T12:58:31.000+0000,2021-12-08T01:59:40.000+0000,Apache,2475,12,0.94
CAY,2714,2273,2003-11-08T02:24:43.000+0000,2021-12-17T08:43:49.000+0000,Apache,1927,20,0.79
SAMZA,2714,1827,2013-08-05T21:47:06.000+0000,2021-12-14T18:31:54.000+0000,Apache,1586,107,0.163
TAP5,2696,2513,2006-07-27T15:11:20.000+0000,2021-12-11T19:53:23.000+0000,Apache,1842,22,0.745
AF,2696,1931,2009-02-16T22:43:43.000+0000,2021-12-28T07:06:35.000+0000,RedHat,1871,79,0.265
KNOX,2694,2398,2013-03-25T12:59:18.000+0000,2022-01-05T12:43:04.000+0000,Apache,2203,111,0.414
RUBY,2689,2395,2009-04-09T09:42:17.000+0000,2022-01-04T15:38:24.000+0000,MongoDB,2259,25,0.554
TINKERPOP,2681,2500,2013-10-16T16:48:27.000+0000,2022-01-04T21:54:23.000+0000,Apache,1823,22,0.82
MODE,2679,2631,2008-01-21T20:48:30.000+0000,2021-04-22T15:52:57.000+0000,RedHat,2284,28,0.734
FORGE,2634,2326,2010-10-22T11:34:26.000+0000,2021-11-04T19:09:53.000+0000,RedHat,1919,69,0.755
COMPASS,2603,2072,2016-03-21T14:59:36.000+0000,2022-01-04T16:08:10.000+0000,MongoDB,1165,25,0.353
BATCH,2598,2239,2007-05-29T14:33:00.000+0000,2019-12-16T09:37:43.000+0000,Spring,1992,17,0.575
DATAMONGO,2590,2215,2010-10-19T09:44:52.000+0000,2020-12-25T08:37:20.000+0000,Spring,2214,10,0.644
DAFFODIL,2577,2176,2010-11-17T16:18:33.000+0000,2022-01-05T17:46:34.000+0000,Apache,1789,33,0.421
WELD,2576,2474,2008-06-02T09:35:35.000+0000,2021-12-16T14:39:43.000+0000,RedHat,2121,47,0.398
SENTRY,2564,1951,2013-08-29T23:04:31.000+0000,2021-01-20T02:50:23.000+0000,Apache,1834,78,0.174
TRINIDAD,2561,1859,2006-04-20T03:46:22.000+0000,2021-02-11T03:27:19.000+0000,Apache,1399,25,0.44
PLANNER,2540,2000,2007-02-03T09:16:29.000+0000,2022-01-04T16:35:31.000+0000,RedHat,1942,31,0.45
TAPESTRY,2499,2325,2003-03-12T11:15:58.000+0000,2012-01-12T21:33:24.000+0000,Apache,1821,18,0.801
RHDEVDOCS,2486,2122,2012-06-22T07:15:26.000+0000,2022-01-04T19:24:13.000+0000,RedHat,1955,55,0.252
JGRP,2482,2438,2004-12-24T09:01:07.000+0000,2022-01-04T11:50:38.000+0000,RedHat,2436,31,0.92
ENTMQST,2482,2178,2018-01-04T04:20:34.000+0000,2022-01-04T16:57:59.000+0000,RedHat,1282,31,0.294
PROTON,2472,2108,2012-08-14T14:25:15.000+0000,2021-12-23T22:01:19.000+0000,Apache,1760,26,0.386
